ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00233,Platform,0,MOORING PIONEER OFFSHORE WFP,WHOI,CP04OSPM,CP04OSPM-00001,,20130218,110911.35,
A00234,Sensor,0,ADCP SERIES G (WHS150-1500),TELEDYNE RDI,WHS150-1500I,19151,50.4,20130220,42773.75,
A00235,Sensor,0,ADCP SERIES G (WHS150-1500),TELEDYNE RDI,WHS150-1500I,18596,50.4,20130220,42773.75,
A00236,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8381,,20121217,8500,
A00237,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8539,,20121217,8500,
A00238,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP-300M,AQD 8399,,20121217,8500,
A00239,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8535,,20121217,8500,
A00240,Sensor,0,ADCP SERIES A (WHS600-500),TELEDYNE RDI,WHS600-500,19016,,20121219,21577.5,
A00241,Sensor,0,ADCP SERIES A (WHS600-500),TELEDYNE RDI,WHS600-500,19024,,20121219,21577.5,
A00243,Sensor,0,ADCP SERIES C (WHS300-500),TELEDYNE RDI,WHS300-500,19000,,20121219,23895,
A00244,Sensor,0,ADCP SERIES C (WHS300-500),TELEDYNE RDI,WHS300-500,19002,,20121219,23895,
A00245,Sensor,0,ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,19023,,20121219,24882,
A00246,Sensor,0,VEL3D SERIES C (VECTOR),NORTEK,VECTOR,8167,,20130109,15960,
A00247,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR,8158,,20130109,19515,
A00248,Sensor,0,PRESF SERIES A (26PLUS),SEA-BIRD ELECTRONICS,SBE-26PLUS,26P71826-1351,,20130123,13450,
A00249,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0072,,20121105,18375,
A00250,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0084,,20130225,9372.5,
A00251,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00252,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00253,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20120227,7235,
A00254,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00255,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00256,,,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00257,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,ASSY 4335-200,339,,20130301,186935,
A00258,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0061,,20130308,20517,
A00259,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0062,,20130308,20517,
A00260,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0063,,20130308,20517,
A00261,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0083,,20130312,17419.25,
A00262,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0085,,20130312,17419.25,
A00263,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0088,,20130312,17419.25,
A00264,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0087,54,20130314,17419.25,
A00265,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0064,,20130314,20517,
A00266,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0086,,20130314,17419.25,
A00267,Node,0,WFP GLOBAL,MCLANE,210-3512,ML12936-02,,20130320,111181.36,
A00267.1,Sensor,0,WFP GLOBAL Electronics #1,MCLANE,210-3512,ML12936-02,,20130314,0,
A00268,Node,0,WFP GLOBAL,MCLANE,210-3512,ML12997-01,,20130320,97150.52,
A00268.1,Sensor,0,WFP GLOBAL Electronics #1,MCLANE,210-3512,ML12997-01,,20130320,0,
A00269,,,ACOUSTIC RELEASE,EdgeTech,8242XS,45543,,20130325,12180,
A00270,,,ACOUSTIC RELEASE,EdgeTech,8242XS,45544,,20130325,12180,
A00271,,,ACOUSTIC RELEASE,EdgeTech,8242XS,45545,,20130325,12180,
A00272,,,ACOUSTIC RELEASE,EdgeTech,8242XS,45542,,20130325,12180,
A00273,,,ACOUSTIC RELEASE,EdgeTech,8242,45607,,20130325,11070,
A00274,,,ACOUSTIC RELEASE,EdgeTech,8242,45609,,20150604,11070,
A00275,,,ACOUSTIC RELEASE,EdgeTech,8242,45600,,20150604,11070,
A00276,,,ACOUSTIC RELEASE,EdgeTech,8242,45605,,20130325,11070,
A00277,,,ACOUSTIC RELEASE,EdgeTech,8242,45604,,20130325,11070,
A00278,,,ACOUSTIC RELEASE,EdgeTech,8242,45603,,20150604,11070,
A00279,,,ACOUSTIC RELEASE,EdgeTech,8242,45602,,20150604,11070,
A00280,,,ACOUSTIC RELEASE,EdgeTech,8242,45608,,20130325,11070,
A00281,,,ACOUSTIC RELEASE,EdgeTech,8242,45606,,20130325,11070,
A00282,,,ACOUSTIC RELEASE,EdgeTech,8242,45599,,20150604,11070,
A00283,,,ACOUSTIC RELEASE,EdgeTech,8242,45601,,20130325,11070,
A00284,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,ASSY 4335-200,340,,20130412,186935,
A00285,Node,0,WFP COASTAL,MCLANE,MMP-7,ML12991-03,,20130426,92259.49,
A00285.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML12991-03,,20130426,0,
A00286,Node,0,WFP COASTAL,MCLANE,MMP-7,ML12991-02,,20130604,92259.49,
A00286.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML12991-02,,20130604,0,
A00287,Node,0,WFP COASTAL,MCLANE,MMP-7,ML12991-01,,20150713,92259.49,
A00287.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML12991-01,,20150713,0,
A00288,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-135,,20130429,37830,
A00289,,,DISA SIM CARD GLOBAL GLIDER,DISA,,482597,,20130411,0,Missing from inventory
A00290,,,DISA SIM CARD GLOBAL GLIDER,DISA,,482621,,20130411,0,LOST AT SEA
A00291,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-639,,20130411,0,
A00292,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-647,,20130411,0,
A00293,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-688,,20130411,0,
A00294,,,DISA SIM CARD GSPP TESTING,DISA,,482605,,20130411,0,Missing from inventory
A00295,,,DISA SIM CARD GLIDER TESTBED,DISA,SIM,89-88-169-312-003-482-654,,20130411,0,
A00296,,,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-589,,20130411,0,
A00297,,,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-514,,20130429,0,
A00298,,,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-555,,20130429,0,
A00299,,,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-548,,20130429,0,
A00300,,,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-530,,20130429,0,
A00301,,,DISA SIM CARD ENDURANCE INSHOR,DISA,SIM,89-88-169-312-003-482-522,,20130429,0,
A00302,,,DISA SIM CARD ENDURANCE PROFIL,DISA,SIM,89-88-169-312-003-482-563,,20130429,0,
A00303,Node,0,WFP COASTAL,MCLANE,MMP-7,ML12991-04,,20130510,92259.49,
A00303.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML12991-04,,20130510,0,
A00304,Node,0,WFP COASTAL,MCLANE,MMP-7,ML12991-05,,20130510,92259.49,
A00304.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML12991-05,,20130510,0,
A00305,,,,,,,,,,Missing from inventory
A00306,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR246,,20130520,11200,
A00307,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR247,,20130520,11200,
A00308,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR248,,20130520,11200,
A00309,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR249,,20130520,11200,
A00310,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR250,,20130520,11200,
A00311,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR251,,20130520,11200,
A00312,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR252,,20130520,11200,
A00313,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR253,,20130520,11200,
A00314,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,46517,,20130605,11070,
A00315,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR244,,20130614,11600,
A00316,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR245,,20150604,11600,
A00317,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR246,,20130614,11600,
A00318,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR247,,20130614,11600,
A00319,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR248,,20130614,11600,
A00320,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR249,,20130614,11600,
A00321,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR250,,20130614,11600,
A00322,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR251,,20130614,11600,
A00323,,,COASTAL SURFACE BUOY ASSEMBLY,RANDOLPH & BALDWIN,COASTAL,TAGONSITE,,20130618,244503,
A00324,,,,,,,,,,Missing from inventory
A00325,,,,,,,,,,Missing from inventory
A00326,,,,,,,,,,Missing from inventory
A00327,,,,,,,,,,Missing from inventory
A00328,,,,,,,,,,Missing from inventory
A00329,,,,,,,,,,Missing from inventory
A00330,,,,,,,,,,Missing from inventory
A00331,,,,,,,,,,Missing from inventory
A00332,,,,,,,,,,Missing from inventory
A00333,,,,,,,,,,Missing from inventory
A00334,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,ASSY 4335-200,374,,20130701,186935,
A00335,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4335-1000,376,,20130701,186935,
A00336,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4335-1000,375,,20130701,186935,LOST AT SEA
A00337,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,60641,,20130626,7350,
A00338,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-795,,20130617,0,
A00339,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-845,,20130617,0,not on osu list
A00340,,,DISA SIM CARD PIONEER GLIDER,DISA,,89-88-169-312-003-482-696,,20130623,0,LOST AT SEA
A00341,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-506,,20130617,0,
A00342,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-787,,20130617,0,
A00343,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-415,,20130617,0,
A00344,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-571,,20130617,0,not on osu list
A00345,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-662,,20130617,0,not on osu list
A00346,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-407,,20130617,0,not on osu list
A00347,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-811,,20130617,0,
A00348,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-670,,20130617,0,
A00349,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-399,,20130617,0,
A00350,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-829,,20130617,0,
A00351,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-704,,20130617,0,
A00352,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-779,,20130617,0,
A00353,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-423,,20130617,0,
A00354,,,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-613,,20130617,0,
A00355,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-035,,20130626,0,
A00356,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-431,,20130626,0,
A00357,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-449,,20130626,0,
A00358,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-456,,20130626,0,
A00359,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-472,,20130626,0,
A00360,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-480,,20130626,0,
A00361,,,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-712,,20130626,0,
A00362,,,MODEM OMINI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,60642,,20130626,7350,
A00363,Platform,0,HYBRID PROFILER STATION PAPA,WHOI/SIO,HYBRID,GP02HYPM-00001,,20130715,698400,
A00364,Platform,0,MOORING MESCALE FLANKING A SP,WHOI/SIO,GP03FLMA,GP03FLMA-00001,,20130715,35611.94,
A00365,Platform,0,MOORING MESCALE FLANKING B SP,WHOI/SIO,GP03FLMB,GP03FLMB-00001,,20130715,2150308.47,
A00366,,,ACOUSTIC RELEASE,EdgeTech,BRT,45215,,20130117,7400,
A00367,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,DG-1000,379,,20130806,186935,
A00368,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,DG-1000,380,,20130806,186935,
A00369,,,STEEL MINI RAMP,LOADING DOCK SUPPLY,N/A,234357,,20130402,8889.19,Missing from inventory
A00370,,,DECK UNIT 8011M,EdgeTech,8011M,ETN46730,,20130612,16200,
A00371,,,DECK UNIT 8011M,EdgeTech,8011M,ETN 46731,,20130612,16200,
A00372,,,DECK KIT,TELEDYNE BENTHOS,UDB-9425E-LF6,60638,,20130613,16537.7,
A00373,,,DECK KIT,TELEDYNE BENTHOS,UDB-9425E-LF6,60666,,20130613,16537.7,
A00374,Sensor,0,NUTNR SERIES A (SUNA),SATLANTIC,SUNA,334,,20130723,35812.15,
A00375,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,276,,20120525,206133,
A00376,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,361,,20130530,171195,LOST AT SEA
A00377,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,362,,20130530,171195,LOST AT SEA
A00378,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,363,,20130530,171195,
A00379,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,364,,20130530,171195,
A00380,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,365,,20130530,171195,
A00381,,,PROFILER ELECTRONICS STACK CF2,MCLANE,PERSISTOR VISION,ML13026-01E,,20130711,5100,
A00382,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,263,,20130723,35812.15,
A00383,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,260,3.2.4,20130812,35812.15,
A00384,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,261,3.2.4,20150604,35812.15,
A00385,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,262,3.2.4,20130812,35812.15,
A00386,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0069,54,20130820,20290.75,
A00387,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0070,54,20130820,20290.75,
A00388,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0095,54,20150604,17535.13,
A00389,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0096,54,20130820,17535.13,
A00390,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0097,54,20150604,17535.13,
A00391,Node,0,WFP COASTAL (1ST ARTICLE),MCLANE,MMP-1ST ARTICLE,ML12936-01,,20130122,104442.23,
A00391.1,Sensor,0,WFP COASTAL (1ST ARTICLE) Electronics #1,MCLANE,MMP-1ST ARTICLE,ML12936-01,54,20130122,0,
A00392,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0100,54,20130823,17535.13,
A00393,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB,CSG-0200,381,,20130806,189935,
A00394,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB,CSG-0200,382,,20130806,189935,
A00395,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,213,4.5.7,20130826,5258.25,
A00396,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,212,4.5.7,20130826,5258.25,
A00397,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,211,4.5.7,20130826,5258.25,
A00398,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,225,4.5.7,20150604,5258.25,
A00399,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,226,4.5.7,20130826,5258.25,
A00400,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,227,4.5.7,20130826,5258.25,
A00401,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,WND236,,20130830,12250,
A00402,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC243,,20130830,8200,
A00403,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC241,,20130830,8200,
A00404,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND239,,20130830,12250,
A00405,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,238,3.0A,20130905,12682,
A00406,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,239,3.0A,20130905,12682,
A00407,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,240,3.0A,20130905,12682,
A00408,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-177-50A,4.0.25,20130909,27181,
A00409,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1102,5.32,20130909,12634.25,
A00410,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11377,3.35,20130916,8500,
A00411,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11382,3.35,20150604,8500,
A00412,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11386,3.35,20150604,8500,
A00413,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,224,,20130827,5258.25,
A00414,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,228,,20130827,5258.25,
A00415,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11397,3.35,20130917,8500,
A00416,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11402,3.35,20130917,8500,
A00417,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11412,3.35,20130917,8500,
A00418,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11417,3.35,20150604,8500,
A00419,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1104,5.32,20130917,12634.25,
A00420,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1105,5.32,20130917,12634.25,
A00421,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1107,,20130917,12634.25,
A00422,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0098,54,20150604,17535.13,
A00423,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0099,54,20150604,17535.13,
A00424,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1106,5.32,20130920,12634.25,
A00426,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,216,,20130801,5258.25,
A00427,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,217,,20130801,5258.25,
A00428,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,218,,20130801,5258.25,
A00429,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,219,,20130801,5258.25,
A00430,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,220,,20130801,5258.25,
A00431,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,221,,20130801,5258.25,
A00432,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,222,,20130801,5258.25,
A00433,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,223,,20130801,5258.25,
A00434,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,241,,20130913,12682,
A00435,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,242,,20130913,12682,
A00436,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,243,,20130913,12682,
A00437,Sensor,0,PCO2A SERIES A (PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-182-50A,4.0.25,20130925,27181,
A00438,Sensor,0,PCO2A SERIES A (PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-183-50A,4.0.25,20130925,27181,
A00439,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,20346,50.4,20130926,56154.5,
A00440,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,SBE-37SM,37-11003,,20130930,5816,
A00441,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH277,,20130930,8050,
A00442,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR273,,20130930,11600,
A00443,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR260,,20130930,11200,
A00444,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR253,,20130930,7200,
A00445,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND240,,20130930,12250,
A00446,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC239,,20130930,8200,
A00447,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH274,,20130930,8050,
A00448,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR278,,20130930,11600,
A00449,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR265,,20130930,11200,
A00450,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR252,,20130930,7200,
A00451,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND245,,20130930,12250,
A00452,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC247,,20150604,8200,
A00453,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH275,,20130930,8050,
A00454,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR266,,20130930,11600,
A00455,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR268,,20130930,11600,
A00456,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR244,,20130930,7200,
A00457,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND238,,20130930,12250,
A00458,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC240,,20130930,8200,
A00459,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH266,,20130930,8050,
A00460,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR263,,20150604,11200,
A00461,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR261,,20130930,11200,
A00462,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR241,,20130930,12250,
A00463,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND243,,20130930,8200,
A00464,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC238,,20131004,20290.75,
A00465,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0071,54,20131003,12634.25,
A00466,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1122,,20131003,12634.25,
A00467,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1124,,20131007,18128.95,
A00468,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0104,,20131009,5375,
A00469,,,CONTAINER OPEN SIDE SWING DOOR,TRS,20FT,TAS,,20130930,12634.25,
A00470,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1116,,20130930,12634.25,
A00471,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,CSG-0200,383,,20130826,186935,
A00472,,,,,,,,,,Missing from inventory
